 	2016-06-02 12:35:56	Local7.Warning	10.246.64.12	2366: Jun  2 07:06:19.523: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi2/0/47 and port Gi4/0/47
2016-06-02 12:36:55	Local7.Warning	10.71.1.66	20655: Jun  2 07:07:17.980 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:36:55	Local7.Warning	10.37.1.23	300151: Jun  2 07:07:18.203: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/19 and port Gi3/0/22
2016-06-02 12:36:56	Local7.Warning	10.31.1.22	27217: Jun  2 07:07:18.802 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex).
2016-06-02 12:36:57	Local7.Warning	10.31.1.22	27218: Jun  2 07:07:18.803 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex). (NBogota-Stack-S2-3)
2016-06-02 12:36:58	Local7.Error	10.92.224.53	29568: Jun  2 07:07:20.936: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to up
2016-06-02 12:36:58	Local7.Notice	10.92.224.53	29569: Jun  2 07:07:21.936: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to up
2016-06-02 12:37:01	Local7.Warning	10.31.1.21	29402: Jun  2 07:07:24.319 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex).
2016-06-02 12:37:02	Local7.Warning	10.31.1.21	29403: Jun  2 07:07:24.349 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex). (NBogota-Stack-S1-4)
2016-06-02 12:37:04	Local7.Notice	10.242.16.11	163954: Jun  2 07:07:27.027 UTC: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/20, changed state to down
2016-06-02 12:37:06	Local7.Notice	10.242.16.11	163955: Jun  2 07:07:29.041 UTC: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/20, changed state to up
